Date/Time,80 Avg WD,80 Max WD,80 Min WD,80 StdDev,120 Avg WD,120 Max WD,120 Min WD,120 StdDev,150 Avg WD,150 Max WD,150 Min WD,150 StdDev,80 Avg WS,80 Max WS,80 Min WS,80 StdDev.1,120 Avg WS,120 Max WS,120 Min WS,120 StdDev.1,150 Avg WS,150 Max WS,150 Min WS,150 StdDev.1,Imputed
05-01-2016 11:20,12.7,113.9,333.3,13.4,21.0,41.0,347.0,11.5,13.0,32.0,328.0,11.5,3.876,6.3,1.2,1.142,4.287,7.0,1.4,1.204,4.646,8.1,1.8,1.185,dummy_value
05-01-2016 11:30,16.9,122.3,348.8,13.2,24.0,72.0,350.0,14.4,17.0,181.0,339.0,14.4,4.053,6.8,0.9,1.299,4.139,6.0,1.7,0.949,4.191,5.9,1.7,0.907,dummy_value
05-01-2016 11:40,25.3,57.7,345.9,12.8,34.0,70.0,0.0,12.9,28.0,58.0,352.0,10.1,4.797,6.7,2.2,0.944,4.872,6.4,2.8,0.748,4.846,6.7,2.6,0.684,dummy_value
05-01-2016 11:50,25.3,57.7,355.8,12.0,34.0,69.0,0.0,11.5,30.0,69.0,349.0,12.9,4.163,5.9,2.2,0.719,4.486,6.1,2.1,0.795,4.489,6.9,2.4,0.854,dummy_value
05-01-2016 12:00,11.3,70.3,213.8,19.1,21.0,138.0,255.0,17.2,15.0,114.0,335.0,15.8,4.054,7.6,1.6,1.217,4.294,7.5,2.1,1.2,4.534,7.4,2.3,1.127,dummy_value
05-01-2016 12:10,12.7,128.0,206.7,19.3,21.0,103.0,329.0,15.8,17.0,184.0,260.0,15.8,3.66,6.1,1.4,1.012,3.817,6.0,1.6,0.981,3.956,6.3,1.5,0.984,dummy_value
05-01-2016 12:20,4.2,129.4,329.1,17.8,13.0,70.0,325.0,17.2,7.0,188.0,319.0,17.2,3.673,6.3,1.3,1.053,3.596,6.9,1.0,1.133,3.621,6.1,1.6,1.0,dummy_value
05-01-2016 12:30,11.3,81.6,324.8,15.0,21.0,188.0,343.0,14.4,15.0,44.0,345.0,11.5,3.607,5.3,1.5,0.96,3.8,6.1,1.3,1.077,4.23,6.3,1.4,1.01,dummy_value
05-01-2016 12:40,9.8,178.6,265.8,17.9,20.0,110.0,354.0,10.1,14.0,41.0,346.0,10.1,4.088,7.7,1.7,1.432,4.369,7.8,1.5,1.217,4.668,7.5,1.7,1.154,dummy_value
05-01-2016 12:50,25.3,73.1,234.8,16.6,34.0,83.0,349.0,15.8,30.0,58.0,352.0,14.4,4.634,6.5,1.8,1.319,4.699,6.3,1.8,1.105,4.69,6.9,1.7,1.108,dummy_value
05-01-2016 13:00,26.7,74.5,330.5,13.7,35.0,79.0,338.0,12.9,30.0,62.0,346.0,11.5,3.863,5.9,1.0,1.124,4.285,6.0,1.9,0.875,4.394,6.7,1.7,0.889,dummy_value
05-01-2016 13:10,11.3,74.5,319.2,18.9,20.0,195.0,322.0,20.1,10.0,108.0,259.0,21.5,2.69,5.0,0.0,0.976,2.935,5.6,0.6,0.927,3.184,6.0,1.2,0.878,dummy_value
05-01-2016 13:20,39.4,71.7,8.4,12.1,46.0,79.0,24.0,11.5,41.0,72.0,0.0,11.5,3.914,6.5,1.9,1.323,4.209,6.9,2.0,1.142,4.329,6.5,1.5,1.203,dummy_value
05-01-2016 13:30,30.9,80.2,351.6,21.3,38.0,73.0,0.0,18.7,34.0,80.0,0.0,17.2,3.593,7.0,1.5,1.038,3.757,6.0,1.4,0.91,3.928,5.5,1.6,0.707,dummy_value
05-01-2016 13:40,47.8,83.0,15.5,11.2,56.0,97.0,10.0,11.5,48.0,84.0,14.0,10.1,4.555,6.5,2.3,0.971,4.706,6.3,2.2,0.857,4.665,6.0,2.4,0.777,dummy_value
05-01-2016 13:50,29.5,71.7,345.9,18.7,38.0,84.0,0.0,17.2,34.0,68.0,0.0,14.4,3.885,5.4,1.5,0.869,4.138,5.6,2.0,0.82,4.278,5.8,1.6,0.86,dummy_value
05-01-2016 14:00,21.1,70.3,341.7,17.8,31.0,82.0,238.0,18.7,28.0,73.0,0.0,14.4,2.882,5.6,0.0,0.949,3.23,6.5,1.3,1.182,3.5,6.4,1.3,1.19,dummy_value
05-01-2016 14:10,52.0,78.8,4.2,11.6,59.0,103.0,35.0,8.6,53.0,72.0,32.0,5.7,4.493,7.3,2.9,0.795,4.651,6.7,3.0,0.788,4.652,6.4,3.0,0.721,dummy_value
05-01-2016 14:20,39.4,75.9,8.4,14.0,51.0,96.0,14.0,12.9,45.0,73.0,20.0,10.1,3.506,4.6,1.8,0.538,3.511,4.5,2.0,0.519,3.524,4.7,2.3,0.612,dummy_value
05-01-2016 14:30,23.9,49.2,0.0,9.4,34.0,68.0,0.0,10.1,30.0,79.0,0.0,11.5,3.193,5.7,0.9,0.938,3.398,5.3,1.6,0.808,3.555,5.6,1.4,0.757,dummy_value
05-01-2016 14:40,39.4,71.7,5.6,14.9,46.0,77.0,14.0,14.4,39.0,69.0,15.0,12.9,4.155,6.7,1.8,0.949,4.511,6.3,2.3,0.795,4.446,6.0,2.3,0.721,dummy_value
05-01-2016 14:50,39.4,74.5,334.7,20.9,48.0,77.0,350.0,20.1,42.0,80.0,0.0,18.7,3.781,6.0,0.3,1.482,3.883,6.3,1.2,1.361,3.879,5.8,1.0,1.216,dummy_value
05-01-2016 15:00,53.4,91.4,7.0,14.9,65.0,101.0,31.0,12.9,60.0,86.0,35.0,10.1,4.027,5.9,1.7,0.755,4.156,5.5,2.6,0.69,4.191,5.7,2.8,0.612,dummy_value
05-01-2016 15:10,63.3,98.4,23.9,17.9,66.0,100.0,32.0,15.8,59.0,86.0,31.0,12.9,3.313,4.8,1.4,0.667,3.429,4.8,1.7,0.755,3.532,5.5,1.8,0.77,dummy_value
05-01-2016 15:20,42.2,98.4,14.1,13.4,51.0,90.0,18.0,14.4,45.0,77.0,6.0,11.5,3.383,4.8,1.9,0.741,3.553,5.0,1.5,0.775,3.566,5.3,1.4,0.797,dummy_value
05-01-2016 15:30,36.6,71.7,355.8,13.6,45.0,87.0,0.0,17.2,35.0,93.0,0.0,14.4,2.254,4.7,0.0,1.242,2.665,4.6,0.2,1.023,2.738,4.5,0.4,0.952,dummy_value
05-01-2016 15:40,35.2,85.8,0.0,15.4,42.0,93.0,18.0,12.9,39.0,110.0,6.0,12.9,3.363,5.6,0.8,1.048,3.664,5.3,1.2,0.938,3.781,5.2,1.5,0.895,dummy_value
05-01-2016 15:50,32.3,80.2,353.0,19.3,39.0,93.0,354.0,21.5,34.0,84.0,0.0,20.1,2.835,4.8,0.6,0.944,3.013,5.0,0.2,1.002,3.161,4.6,1.1,0.841,dummy_value
05-01-2016 16:00,45.0,80.2,16.9,12.7,52.0,77.0,24.0,11.5,49.0,86.0,13.0,10.1,3.111,4.3,1.1,0.667,3.299,4.8,1.5,0.683,3.341,4.6,0.9,0.699,dummy_value
05-01-2016 16:10,29.5,53.4,5.6,7.5,42.0,68.0,6.0,11.5,38.0,58.0,14.0,11.5,3.41,5.3,1.5,0.899,3.559,4.8,1.6,0.857,3.714,5.2,1.6,0.829,dummy_value
05-01-2016 16:20,28.1,61.9,354.4,13.8,42.0,111.0,13.0,15.8,48.0,83.0,4.0,12.9,2.001,3.3,0.0,0.652,2.172,3.5,0.2,0.585,2.172,3.8,0.3,0.637,dummy_value
05-01-2016 16:30,26.7,60.5,354.4,16.3,37.0,70.0,7.0,14.4,35.0,68.0,10.0,12.9,2.808,4.5,1.1,0.851,3.151,4.5,1.4,0.768,3.278,4.6,1.8,0.669,dummy_value
05-01-2016 16:40,29.5,57.7,0.0,12.4,41.0,72.0,10.0,12.9,39.0,56.0,6.0,11.5,3.574,4.8,1.2,0.875,3.926,5.1,1.3,0.698,4.14,5.5,2.2,0.604,dummy_value
05-01-2016 16:50,46.4,61.9,25.3,5.4,56.0,65.0,42.0,4.3,52.0,62.0,45.0,2.9,3.636,4.5,2.9,0.352,4.085,5.3,3.0,0.509,4.12,5.3,3.0,0.53,dummy_value
05-01-2016 17:00,52.0,68.9,33.8,3.8,59.0,66.0,48.0,2.9,52.0,58.0,41.0,2.9,4.357,5.1,3.1,0.367,4.876,5.6,4.0,0.394,4.655,5.4,3.7,0.408,dummy_value
05-01-2016 17:10,57.7,68.9,52.0,2.9,65.0,72.0,55.0,2.9,56.0,60.0,52.0,1.4,3.994,4.6,3.1,0.269,4.344,5.0,3.6,0.305,4.259,5.1,3.6,0.338,dummy_value
05-01-2016 17:20,54.8,66.1,43.6,4.1,65.0,75.0,55.0,4.3,58.0,66.0,51.0,2.9,4.286,5.1,3.5,0.337,4.734,5.4,3.9,0.367,4.76,5.6,4.1,0.27,dummy_value
05-01-2016 17:30,53.4,64.7,40.8,4.3,65.0,75.0,56.0,4.3,59.0,72.0,55.0,4.3,4.345,5.3,3.5,0.466,4.905,5.8,4.1,0.381,5.047,5.8,4.2,0.382,dummy_value
05-01-2016 17:40,60.5,74.5,45.0,5.0,69.0,79.0,58.0,4.3,62.0,72.0,52.0,2.9,4.561,5.7,3.2,0.488,5.107,6.2,3.9,0.488,5.517,6.5,4.2,0.479,dummy_value
05-01-2016 17:50,56.3,66.1,46.4,2.5,63.0,68.0,56.0,1.4,55.0,60.0,52.0,1.4,4.461,5.2,3.8,0.337,5.246,5.8,4.7,0.269,5.337,6.0,4.8,0.25,dummy_value
05-01-2016 18:00,56.3,63.3,50.6,2.0,63.0,69.0,55.0,1.4,56.0,59.0,52.0,1.4,4.12,4.6,3.7,0.204,4.994,5.5,4.4,0.269,5.162,5.7,4.6,0.27,dummy_value
05-01-2016 18:10,52.0,57.7,42.2,2.0,62.0,65.0,52.0,1.4,55.0,60.0,51.0,1.4,4.119,5.4,3.7,0.322,5.204,6.1,4.6,0.352,5.336,6.1,4.7,0.338,dummy_value
05-01-2016 18:20,53.4,59.1,45.0,2.9,63.0,70.0,58.0,1.4,56.0,63.0,53.0,1.4,4.548,5.0,3.8,0.228,5.253,5.8,4.6,0.249,5.446,6.0,4.6,0.27,dummy_value
05-01-2016 18:30,53.4,56.3,50.6,1.4,62.0,66.0,58.0,1.4,56.0,58.0,52.0,1.4,4.627,5.0,4.3,0.176,5.459,5.9,5.0,0.228,5.499,5.9,5.1,0.144,dummy_value
05-01-2016 18:40,49.2,53.4,46.4,2.5,59.0,63.0,56.0,1.4,55.0,58.0,52.0,1.4,5.042,5.4,4.7,0.204,5.586,6.0,5.3,0.176,5.535,5.9,5.1,0.177,dummy_value
05-01-2016 18:50,49.2,53.4,46.4,1.4,58.0,62.0,53.0,1.4,52.0,55.0,49.0,0.0,5.175,5.4,4.8,0.176,5.861,6.3,5.2,0.269,6.005,6.5,5.3,0.27,dummy_value
05-01-2016 19:00,53.4,59.1,47.8,3.8,63.0,72.0,55.0,2.9,58.0,66.0,53.0,2.9,5.243,5.8,4.6,0.269,6.065,6.5,5.3,0.269,6.245,6.6,5.8,0.204,dummy_value
