Date/Time,80 Avg WD,80 Max WD,80 Min WD,80 StdDev,120 Avg WD,120 Max WD,120 Min WD,120 StdDev,150 Avg WD,150 Max WD,150 Min WD,150 StdDev,80 Avg WS,80 Max WS,80 Min WS,80 StdDev,120 Avg WS,120 Max WS,120 Min WS,120 StdDev,150 Avg WS,150 Max WS,150 Min WS,150 StdDev
05-01-2016 11:20,12.7,113.9,333.3,13.4,21,41,347,11.5,13,32,328,11.5,3.876,6.3,1.2,1.142,4.287,7,1.4,1.204,4.646,8.1,1.8,1.185
05-01-2016 11:30,16.9,122.3,348.8,13.2,24,72,350,14.4,17,181,339,14.4,4.053,6.8,0.9,1.299,4.139,6,1.7,0.949,4.191,5.9,1.7,0.907
05-01-2016 11:40,25.3,57.7,345.9,12.8,34,70,0,12.9,28,58,352,10.1,4.797,6.7,2.2,0.944,4.872,6.4,2.8,0.748,4.846,6.7,2.6,0.684
05-01-2016 11:50,25.3,57.7,355.8,12,34,69,0,11.5,30,69,349,12.9,4.163,5.9,2.2,0.719,4.486,6.1,2.1,0.795,4.489,6.9,2.4,0.854
05-01-2016 12:00,11.3,70.3,213.8,19.1,21,138,255,17.2,15,114,335,15.8,4.054,7.6,1.6,1.217,4.294,7.5,2.1,1.2,4.534,7.4,2.3,1.127
05-01-2016 12:10,12.7,128,206.7,19.3,21,103,329,15.8,17,184,260,15.8,3.66,6.1,1.4,1.012,3.817,6,1.6,0.981,3.956,6.3,1.5,0.984
05-01-2016 12:20,4.2,129.4,329.1,17.8,13,70,325,17.2,7,188,319,17.2,3.673,6.3,1.3,1.053,3.596,6.9,1,1.133,3.621,6.1,1.6,1
05-01-2016 12:30,11.3,81.6,324.8,15,21,188,343,14.4,15,44,345,11.5,3.607,5.3,1.5,0.96,3.8,6.1,1.3,1.077,4.23,6.3,1.4,1.01
05-01-2016 12:40,9.8,178.6,265.8,17.9,20,110,354,10.1,14,41,346,10.1,4.088,7.7,1.7,1.432,4.369,7.8,1.5,1.217,4.668,7.5,1.7,1.154
05-01-2016 12:50,25.3,73.1,234.8,16.6,34,83,349,15.8,30,58,352,14.4,4.634,6.5,1.8,1.319,4.699,6.3,1.8,1.105,4.69,6.9,1.7,1.108
05-01-2016 13:00,26.7,74.5,330.5,13.7,35,79,338,12.9,30,62,346,11.5,3.863,5.9,1,1.124,4.285,6,1.9,0.875,4.394,6.7,1.7,0.889
05-01-2016 13:10,11.3,74.5,319.2,18.9,20,195,322,20.1,10,108,259,21.5,2.69,5,0,0.976,2.935,5.6,0.6,0.927,3.184,6,1.2,0.878
05-01-2016 13:20,39.4,71.7,8.4,12.1,46,79,24,11.5,41,72,0,11.5,3.914,6.5,1.9,1.323,4.209,6.9,2,1.142,4.329,6.5,1.5,1.203
05-01-2016 13:30,30.9,80.2,351.6,21.3,38,73,0,18.7,34,80,0,17.2,3.593,7,1.5,1.038,3.757,6,1.4,0.91,3.928,5.5,1.6,0.707
05-01-2016 13:40,47.8,83,15.5,11.2,56,97,10,11.5,48,84,14,10.1,4.555,6.5,2.3,0.971,4.706,6.3,2.2,0.857,4.665,6,2.4,0.777
05-01-2016 13:50,29.5,71.7,345.9,18.7,38,84,0,17.2,34,68,0,14.4,3.885,5.4,1.5,0.869,4.138,5.6,2,0.82,4.278,5.8,1.6,0.86
05-01-2016 14:00,21.1,70.3,341.7,17.8,31,82,238,18.7,28,73,0,14.4,2.882,5.6,0,0.949,3.23,6.5,1.3,1.182,3.5,6.4,1.3,1.19
05-01-2016 14:10,52,78.8,4.2,11.6,59,103,35,8.6,53,72,32,5.7,4.493,7.3,2.9,0.795,4.651,6.7,3,0.788,4.652,6.4,3,0.721
05-01-2016 14:20,39.4,75.9,8.4,14,51,96,14,12.9,45,73,20,10.1,3.506,4.6,1.8,0.538,3.511,4.5,2,0.519,3.524,4.7,2.3,0.612
05-01-2016 14:30,23.9,49.2,0,9.4,34,68,0,10.1,30,79,0,11.5,3.193,5.7,0.9,0.938,3.398,5.3,1.6,0.808,3.555,5.6,1.4,0.757
05-01-2016 14:40,39.4,71.7,5.6,14.9,46,77,14,14.4,39,69,15,12.9,4.155,6.7,1.8,0.949,4.511,6.3,2.3,0.795,4.446,6,2.3,0.721
